Human_Evaluation_Case_ID,Comparison_Type_TestCase,Image_1_Path_TestCase,Image_2_Path_TestCase,LIME_Image1_Path,LIME_Image2_Path,GradCAM_Image1_Path,GradCAM_Image2_Path,IG_Image1_Path,IG_Image2_Path
HE_001,A_Same_Finger_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\554__M_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\554__M_Left_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_001_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_001_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_001_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_001_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_001_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_001_Image2_IG.png
HE_002,A_Same_Finger_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\125__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\contrast\125__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_002_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_002_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_002_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_002_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_002_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_002_Image2_IG.png
HE_003,A_Same_Finger_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\349__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\translation\349__M_Right_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_003_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_003_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_003_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_003_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_003_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_003_Image2_IG.png
HE_004,A_Same_Finger_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\375__M_Left_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\contrast\375__M_Left_index_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_004_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_004_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_004_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_004_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_004_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_004_Image2_IG.png
HE_005,A_Same_Finger_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\342__M_Left_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\342__M_Left_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_005_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_005_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_005_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_005_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_005_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_005_Image2_IG.png
HE_006,A_Same_Finger_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\525__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_right\525__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_006_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_006_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_006_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_006_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_006_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_006_Image2_IG.png
HE_007,A_Same_Finger_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\278__M_Left_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\278__M_Left_ring_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_007_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_007_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_007_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_007_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_007_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_007_Image2_IG.png
HE_008,A_Same_Finger_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\524__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\blur\524__M_Left_thumb_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_008_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_008_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_008_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_008_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_008_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_008_Image2_IG.png
HE_009,A_Same_Finger_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\147__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\noise\147__M_Right_little_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_009_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_009_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_009_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_009_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_009_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_009_Image2_IG.png
HE_010,A_Same_Finger_Original_Augmented,D:\Ewww\7th Semester\Biometric_Auth\Augmented\original\460__M_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\Augmented\rotate_right\460__M_Right_middle_finger.BMP,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image1\HE_010_Image1_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\LIME\Image2\HE_010_Image2_LIME.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image1\HE_010_Image1_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\GradCAM\Image2\HE_010_Image2_GradCAM.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image1\HE_010_Image1_IG.png,D:\Ewww\7th Semester\Biometric_Auth\XAI_Results\IntegratedGradients\Image2\HE_010_Image2_IG.png
